index	prompt1	prompt2	prompt3	prompt4
0	In this image there is a boy holding an umbrella and a bull. In the background there are many people, houses, trees and the sky.	No.	Female.	Male.
1	A kitchen is shown, with a white door on the right and a white stove on the left. There are cabinets above the stove, and a refrigerator to the right of the stove.	No.	Female.	Female.
2	In this image we can see a girl holding a cat in her hands. In the background we can see a bicycle, grass, a wall and the ground.	Yes.	Female.	Female.
3	In this image we can see a toilet, a bottle, a tissue roll, a tap, a wall with paint and a door.	No.	Female.	Female.
4	A small room with two sinks, a fire extinguisher, and various pipes and pipes.	No.	NO.	Female.
5	In this image there is a person riding a bicycle on the road. In the background there are vehicles on the road, there are trees, there is a traffic signal, there are buildings, there is a board on the wall, there is a black car, there is a green color sign board, there is a white color board, there is a black color sign board, there is a white color board, there is a black color board, there is a white color board, there is a yellow color board, there is a white color board, there is a black color board, there is a white color board, there is a white color board, there is a white color board, there is a white color board, there is a white color board, there is a white color board, there is a white color board, there is a white color board, there is a white color board, there is a white color board, there is a white color board, there is a white color board	Yes.	Female.	Female.
6	In this image there is a bathtub, beside the bathtub there is a white color bath mat, on the left side there is a towel, in the background there is a white color door, on the right side there is a white color wall, on the left side there is a white color mirror, on the right side there is a white color door.	No.	Female.	Female.
7	In this image there is a parking meter on the pole. In the background there are cars on the road.	No.	Female.	Female.
8	In this image there is a bathtub, there is a wall, there is a mirror, there is a towel, there is a shelf, there is a clock, there is a photo frame, there is a wall, there is a door, there is a door, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there is a wall, there	No.	Female.	Female.
9	An old toilet sits on its lid, a red helmet with a blue and yellow design is placed on top.	No.	Female.	Female.
